Result Number,EE_DISPLAY_ID,EE_ORDERING_ID,DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec
1,LE70200472014109ASN00,LE70200472014109ASN00,0,Y,LE70200472014109ASN00,BUMPER,ASN,DAY, 020, 047,2014/04/19,2014:109:16:19:50.8856250,2014:109:16:20:17.6395624, 9, 9,  39.64,  21.60,  55.40,  38.36,  43.22,65.11494446,103.93565369,18°46'58.66"N,89°50'36.20"W,19°42'58.54"N,90°33'26.03"W,19°27'20.70"N,88°45'39.64"W,18°06'02.02"N,90°55'07.07"W,17°50'32.96"N,89°08'21.48"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,10.514499,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 19.72525   (19°43'30.90"N), -91.03041  (91°01'49.48"W), 19.76248   (19°45'44.93"N), -88.70845  (88°42'30.42"W), 17.81302   (17°48'46.87"N), -90.98515   (90°59'06.54"W), 17.84639   (17°50'47.00"N), -88.68921   (88°41'21.16"W),14141,16241,7071,8121,7071,8121,,,12,3.508,2.539,2.42,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78296,-89.84339,19.72525,-91.03041,19.76248,-88.70845,17.81302,-90.98515,17.84639,-88.68921
2,LE70200472014093ASN00,LE70200472014093ASN00,0,Y,LE70200472014093ASN00,BUMPER,ASN,DAY, 020, 047,2014/04/03,2014:093:16:19:41.2385624,2014:093:16:20:07.9925625, 9, 9,  16.81,   6.59,  22.88,  12.73,  25.05,61.65306854,114.75721741,18°46'58.76"N,89°49'47.57"W,19°43'11.28"N,90°32'33.72"W,19°27'33.16"N,88°44'46.90"W,18°06'14.76"N,90°54'16.31"W,17°50'45.56"N,89°07'30.18"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-15.555216,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 19.73381   (19°44'01.72"N), -91.01063  (91°00'38.27"W), 19.77080   (19°46'14.88"N), -88.68850  (88°41'18.60"W), 17.81342   (17°48'48.31"N), -90.96538   (90°57'55.37"W), 17.84656   (17°50'47.62"N), -88.66940   (88°40'09.84"W),14201,16241,7101,8121,7101,8121,,,21,4.014,2.833,2.843,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78299,-89.82988,19.73381,-91.01063,19.7708,-88.6885,17.81342,-90.96538,17.84656,-88.6694
3,LE70200472014077ASN00,LE70200472014077ASN00,0,Y,LE70200472014077ASN00,BUMPER,ASN,DAY, 020, 047,2014/03/18,2014:077:16:19:35.9385000,2014:077:16:20:02.6924375, 9, 9,  58.86,  37.91,  82.41,  35.16,  79.97,57.1240654,123.60253906,18°46'58.51"N,89°50'16.94"W,19°43'03.94"N,90°33'04.46"W,19°27'25.52"N,88°45'17.50"W,18°06'08.78"N,90°54'46.98"W,17°50'39.26"N,89°08'00.71"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,2.050941,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 19.73091   (19°43'51.28"N), -91.01913  (91°01'08.87"W), 19.76801   (19°46'04.84"N), -88.69706  (88°41'49.42"W), 17.81054   (17°48'37.94"N), -90.97380   (90°58'25.68"W), 17.84378   (17°50'37.61"N), -88.67787   (88°40'40.33"W),14201,16241,7101,8121,7101,8121,,,36,4.099,3.294,2.44,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78292,-89.83804,19.73091,-91.01913,19.76801,-88.69706,17.81054,-90.9738,17.84378,-88.67787
4,LE70200472014061EDC00,LE70200472014061EDC00,0,Y,LE70200472014061EDC00,BUMPER,EDC,DAY, 020, 047,2014/03/02,2014:061:16:19:27.6751250,2014:061:16:19:54.4290624, 9, 9,  21.27,   9.06,  35.60,   5.26,  35.15,52.23545456,130.62287903,18°46'56.53"N,89°50'17.41"W,19°42'59.15"N,90°33'05.47"W,19°27'20.30"N,88°45'19.26"W,18°06'03.85"N,90°54'48.10"W,17°50'34.22"N,89°08'02.51"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-4.938757,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE, 19.72821   (19°43'41.56"N), -91.01906  (91°01'08.62"W), 19.76530   (19°45'55.08"N), -88.69703  (88°41'49.31"W), 17.80784   (17°48'28.22"N), -90.97374   (90°58'25.46"W), 17.84107   (17°50'27.85"N), -88.67784   (88°40'40.22"W),14201,16241,7101,8121,7101,8121,,,17,4.722,3.359,3.319,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78237,-89.83817,19.72821,-91.01906,19.7653,-88.69703,17.80784,-90.97374,17.84107,-88.67784
5,LE70200472014045EDC00,LE70200472014045EDC00,0,Y,LE70200472014045EDC00,BUMPER,EDC,DAY, 020, 047,2014/02/14,2014:045:16:19:28.5815625,2014:045:16:19:55.3355624, 9, 9,   5.52,   0.47,   0.00,  21.60,   0.00,47.67843246,136.34294128,18°46'56.75"N,89°52'51.10"W,19°42'59.33"N,90°35'37.43"W,19°27'20.41"N,88°47'52.91"W,18°06'02.23"N,90°57'21.31"W,17°50'32.10"N,89°10'37.38"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,12.08683,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,PREDICTIVE, 19.72994   (19°43'47.78"N), -91.06196  (91°03'43.06"W), 19.76759   (19°46'03.32"N), -88.74000  (88°44'24.00"W), 17.80968   (17°48'34.85"N), -91.01616   (91°00'58.18"W), 17.84341   (17°50'36.28"N), -88.72032   (88°43'13.15"W),14201,16241,7101,8121,7101,8121,,,89,5.777,3.977,4.19,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78243,-89.88086,19.72994,-91.06196,19.76759,-88.74,17.80968,-91.01616,17.84341,-88.72032
6,LE70200472014029EDC00,LE70200472014029EDC00,0,Y,LE70200472014029EDC00,BUMPER,EDC,DAY, 020, 047,2014/01/29,2014:029:16:19:32.7346249,2014:029:16:19:59.4886250, 9, 9,  69.28,  74.71,  53.37,  88.51,  60.52,44.04685974,141.1574707,18°46'59.41"N,89°56'03.19"W,19°42'59.69"N,90°38'51.86"W,19°27'22.86"N,88°51'08.17"W,18°06'03.10"N,91°00'31.90"W,17°50'35.34"N,89°13'48.83"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,10.702567,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,,GEOTIFF,PREDICTIVE, 19.72877   (19°43'43.57"N), -91.11337  (91°06'48.13"W), 19.76706   (19°46'01.42"N), -88.79438  (88°47'39.77"W), 17.80863   (17°48'31.07"N), -91.06698   (91°04'01.13"W), 17.84293   (17°50'34.55"N), -88.77409   (88°46'26.72"W),14201,16221,7101,8111,7101,8111,,,,,,,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78317,-89.93422,19.72877,-91.11337,19.76706,-88.79438,17.80863,-91.06698,17.84293,-88.77409
7,LE70200472014013EDC00,LE70200472014013EDC00,0,Y,LE70200472014013EDC00,BUMPER,EDC,DAY, 020, 047,2014/01/13,2014:013:16:19:14.3623750,2014:013:16:19:41.1163125, 9, 9,   0.32,   0.00,   0.89,   0.02,   0.38,41.80076599,145.21598816,18°46'59.20"N,89°51'50.65"W,19°43'08.94"N,90°34'35.72"W,19°27'31.86"N,88°46'51.71"W,18°06'12.17"N,90°56'16.91"W,17°50'44.34"N,89°09'33.52"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,15.96768,HH,HH,HH,HH,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,PREDICTIVE, 19.73027   (19°43'48.97"N), -91.04769  (91°02'51.68"W), 19.76768   (19°46'03.65"N), -88.73141  (88°43'53.08"W), 17.81808   (17°49'05.09"N), -91.00222   (91°00'07.99"W), 17.85162   (17°51'05.83"N), -88.71191   (88°42'42.88"W),14141,16201,7071,8101,7071,8101,,,69,5.029,3.821,3.27,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78311,-89.86407,19.73027,-91.04769,19.76768,-88.73141,17.81808,-91.00222,17.85162,-88.71191
8,LE70200472013330EDC00,LE70200472013330EDC00,0,Y,LE70200472013330EDC00,BUMPER,EDC,DAY, 020, 047,2013/11/26,2013:330:16:18:58.1329375,2013:330:16:19:24.8869374, 9, 9,  47.76,  23.41,  41.29,  76.21,  50.15,44.74497604,150.62280273,18°46'59.30"N,89°50'37.57"W,19°43'08.90"N,90°33'25.49"W,19°27'30.60"N,88°45'35.53"W,18°06'13.03"N,90°55'09.52"W,17°50'43.30"N,89°08'20.47"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,8.522517,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,,GEOTIFF,PREDICTIVE, 19.73078   (19°43'50.81"N), -91.02484  (91°01'29.42"W), 19.76795   (19°46'04.62"N), -88.70278  (88°42'10.01"W), 17.81043   (17°48'37.55"N), -90.97944   (90°58'45.98"W), 17.84373   (17°50'37.43"N), -88.68353   (88°41'00.71"W),14201,16241,7101,8121,7101,8121,,,,,,,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78314,-89.84377,19.73078,-91.02484,19.76795,-88.70278,17.81043,-90.97944,17.84373,-88.68353
9,LE70200472013266ASN00,LE70200472013266ASN00,0,Y,LE70200472013266ASN00,BUMPER,ASN,DAY, 020, 047,2013/09/23,2013:266:16:18:25.1755000,2013:266:16:18:51.9294999, 9, 9,  59.24,  63.37,  26.78,  88.34,  58.45,60.26015472,127.37631226,18°46'57.32"N,89°49'23.59"W,19°43'12.00"N,90°32'04.92"W,19°27'33.59"N,88°44'22.13"W,18°06'14.54"N,90°53'49.81"W,17°50'45.20"N,89°07'07.68"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,16.2187,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,GLS2000,GEOTIFF,DEFINITIVE, 19.73130   (19°43'52.68"N), -91.00199  (91°00'07.16"W), 19.76814   (19°46'05.30"N), -88.68275  (88°40'57.90"W), 17.81089   (17°48'39.20"N), -90.95685   (90°57'24.66"W), 17.84390   (17°50'38.04"N), -88.66372   (88°39'49.39"W),14201,16221,7101,8111,7101,8111,,,10,3.594,2.88,2.15,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78259,-89.82322,19.7313,-91.00199,19.76814,-88.68275,17.81089,-90.95685,17.8439,-88.66372
10,LE70200472013250ASN00,LE70200472013250ASN00,0,Y,LE70200472013250ASN00,BUMPER,ASN,DAY, 020, 047,2013/09/07,2013:250:16:18:16.2816250,2013:250:16:18:43.0355625, 9, 9,  53.66,  51.28,  66.62,  28.96,  67.79,62.7071991,115.14621735,18°46'56.60"N,89°49'29.03"W,19°43'08.54"N,90°32'13.78"W,19°27'29.92"N,88°44'29.94"W,18°06'11.95"N,90°53'56.83"W,17°50'42.18"N,89°07'13.73"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,11.252974,HH,HH,HH,LL,HH,LL,HH,HH,LL,PROCESSING REQUIRED,,GEOTIFF,DEFINITIVE, 19.73130   (19°43'52.68"N), -91.00199  (91°00'07.16"W), 19.76811   (19°46'05.20"N), -88.68561  (88°41'08.20"W), 17.81089   (17°48'39.20"N), -90.95685   (90°57'24.66"W), 17.84388   (17°50'37.97"N), -88.66655   (88°39'59.58"W),14201,16201,7101,8101,7101,8101,,,,,,,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,18.78239,-89.82473,19.7313,-91.00199,19.76811,-88.68561,17.81089,-90.95685,17.84388,-88.66655
